season,points,name,rank,round
1958,26,Granada C.F.,13,30
1958,24,U.D. Las Palmas,14,30
1958,20,Real S. de Gijón,15,30
1958,13,RC Celta de Vigo,16,30
1957,45,Real Madrid C.F.,1,30
1957,42,At. de Madrid,2,30
1957,38,F.C. Barcelona,3,30
1957,36,Valencia C.F.,4,30
1957,35,C. At. Osasuna,5,30
1957,32,Athletic Club,6,30
1957,32,RC Celta de Vigo,7,30
1957,28,R.C.D. Espanyol,8,30
1957,27,Real Sociedad,9,30
1957,25,Sevilla F.C.,10,30
1957,25,U.D. Las Palmas,11,30
1957,24,Real S. de Gijón,12,30
1957,24,Granada C.F.,13,30
1957,24,Real Zaragoza CD,14,30
1957,23,Real Valladolid,15,30
1957,20,Real Jaén C.F.,16,30
1956,44,Real Madrid C.F.,1,30
1956,39,Sevilla F.C.,2,30
1956,39,F.C. Barcelona,3,30
1956,37,Athletic Club,4,30
1956,34,At. de Madrid,5,30
1956,31,C. At. Osasuna,6,30
1956,30,R.C.D. Espanyol,7,30
1956,28,Real Valladolid,8,30
1956,28,Real Zaragoza CD,9,30
1956,27,U.D. Las Palmas,10,30
1956,27,Valencia C.F.,11,30
1956,26,Real Sociedad,12,30
1956,23,RC Celta de Vigo,13,30
1956,23,Real Jaén C.F.,14,30
1956,22,R.C. Deportivo,15,30
1956,22,Condal,16,30
1967,42,Real Madrid C.F.,1,30
1967,39,F.C. Barcelona,2,30
1967,38,U.D. Las Palmas,3,30
1967,34,Valencia C.F.,4,30
1967,33,Real Zaragoza CD,5,30
1967,33,At. de Madrid,6,30
1967,32,Athletic Club,7,30
1967,31,Pontevedra C.F.,8,30
1967,29,R.C.D. Espanyol,9,30
1967,27,C.D. Málaga,10,30
1967,27,Elche C.F.,11,30
1967,26,C.D. Sabadell,12,30
1967,25,Córdoba C.F.,13,30
1967,24,Real Sociedad,14,30
1967,20,Real Betis B. S.,15,30
1967,20,Sevilla F.C.,16,30
1955,48,Athletic Club,1,30
1955,47,F.C. Barcelona,2,30
1955,38,Real Madrid C.F.,3,30
1955,36,Sevilla F.C.,4,30
1955,33,At. de Madrid,5,30
1955,32,Valencia C.F.,6,30
1955,31,R.C.D. Espanyol,7,30
1955,30,Real Sociedad,8,30
1955,30,Real Valladolid,9,30
1955,27,RC Celta de Vigo,10,30
1955,26,U.D. Las Palmas,11,30
1955,26,R.C. Deportivo,12,30
1955,25,Real Murcia C.F.,13,30
1955,24,C.D. Alavés,14,30
1955,14,C. y D. Leonesa,15,30
1955,13,Hércules C.F.,16,30
1954,46,Real Madrid C.F.,1,30
1954,41,F.C. Barcelona,2,30
1954,39,Athletic Club,3,30
1954,34,Sevilla F.C.,4,30
1954,33,Valencia C.F.,5,30
1954,31,Hércules C.F.,6,30
1954,30,R.C. Deportivo,7,30
1954,29,At. de Madrid,8,30
1954,27,Real Valladolid,9,30
1954,27,RC Celta de Vigo,10,30
1954,27,C.D. Alavés,11,30
1954,27,U.D. Las Palmas,12,30
1954,26,R.C.D. Espanyol,13,30
1954,24,Real Sociedad,14,30
1954,20,Real Racing Club,15,30
1954,19,C.D. Málaga,16,30
1952,42,F.C. Barcelona,1,30
1952,40,Valencia C.F.,2,30
1952,39,Real Madrid C.F.,3,30
1952,36,R.C.D. Espanyol,4,30
1952,34,Sevilla F.C.,5,30
1952,32,Athletic Club,6,30
1952,30,Real S. de Gijón,7,30
1952,30,At. de Madrid,8,30
1952,29,Real Oviedo C.F.,9,30
1952,28,Real Sociedad,10,30
1952,27,Real Racing Club,11,30
1952,25,Real Valladolid,12,30
1952,25,RC Celta de Vigo,13,30
1952,24,R.C. Deportivo,14,30
1952,22,C.D. Málaga,15,30
1952,17,Real Zaragoza CD,16,30
1947,37,F.C. Barcelona,1,26
1947,34,Valencia C.F.,2,26
1947,33,At. de Madrid,3,26
1947,31,RC Celta de Vigo,4,26
1947,29,Sevilla F.C.,5,26
1947,28,Athletic Club,6,26
1947,24,Club Gimnàstic,7,26
1947,24,R.C.D. Espanyol,8,26
1947,23,Real Oviedo C.F.,9,26
1947,22,C.D. Alcoyano,10,26
1947,21,Real Madrid C.F.,11,26
1947,21,C.D. Sabadell,12,26
1947,19,Real Sociedad,13,26
1947,18,Real S. de Gijón,14,26
1946,34,Valencia C.F.,1,26
1946,34,Athletic Club,2,26
1946,32,At. de Madrid,3,26
1946,31,F.C. Barcelona,4,26
1946,30,C.D. Sabadell,5,26
1946,29,Sevilla F.C.,6,26
1946,27,Real Madrid C.F.,7,26
1946,27,Real Oviedo C.F.,8,26
1946,24,RC Celta de Vigo,9,26
1946,25,Real S. de Gijón,10,26
1946,19,R.C.D. Espanyol,11,26
1946,19,Real Murcia C.F.,12,26
1946,18,R.C. Deportivo,13,26
1946,13,C.D. Castellón,14,26
1945,36,Sevilla F.C.,1,26
1945,35,F.C. Barcelona,2,26
1945,33,Athletic Club,3,26
1945,31,Real Madrid C.F.,4,26
1945,30,Real Oviedo C.F.,5,26
1945,28,Valencia C.F.,6,26
1945,26,At. de Madrid,7,26
1945,26,C.D. Castellón,8,26
1945,25,Real S. de Gijón,9,26
1945,21,RC Celta de Vigo,10,26
1945,20,Real Murcia C.F.,11,26
1945,19,R.C.D. Espanyol,12,26
1945,19,C.D. Alcoyano,13,26
1945,15,Hércules C.F.,14,26
1944,39,F.C. Barcelona,1,26
1944,38,Real Madrid C.F.,2,26
1944,31,At. de Madrid,3,26
1944,31,Real Oviedo C.F.,4,26
1944,30,Valencia C.F.,5,26
1944,30,Athletic Club,6,26
1944,24,Real S. de Gijón,7,26
1944,24,C.D. Castellón,8,26
1944,23,R.C.D. Espanyol,9,26
1944,22,Sevilla F.C.,10,26
1944,19,Real Murcia C.F.,11,26
1944,19,Granada C.F.,12,26
1944,17,C.D. Sabadell,13,26
1944,17,R.C. Deportivo,14,26
1943,40,Valencia C.F.,1,26
1943,34,At. de Madrid,2,26
1943,32,Sevilla F.C.,3,26
1943,29,Real Oviedo C.F.,4,26
1943,29,C.D. Castellón,5,26
1943,28,F.C. Barcelona,6,26
1943,28,Real Madrid C.F.,7,26
1943,26,Granada C.F.,8,26
1943,25,C.D. Sabadell,9,26
1943,25,Athletic Club,10,26
1943,23,R.C.D. Espanyol,11,26
1943,19,R.C. Deportivo,12,26
1943,17,Real Sociedad,13,26
1943,9,RC Celta de Vigo,14,26
1942,36,Athletic Club,1,26
1942,33,Sevilla F.C.,2,26
1942,32,F.C. Barcelona,3,26
1942,31,C.D. Castellón,4,26
1942,30,RC Celta de Vigo,5,26
1942,28,Real Oviedo C.F.,6,26
1942,27,Valencia C.F.,7,26
1942,27,At. de Madrid,8,26
1942,26,R.C. Deportivo,9,26
1942,25,Real Madrid C.F.,10,26
1942,24,R.C.D. Espanyol,11,26
1942,22,Granada C.F.,12,26
1942,13,Real Zaragoza CD,13,26
1942,10,Real Betis B. S.,14,26
1941,40,Valencia C.F.,1,26
1941,33,Real Madrid C.F.,2,26
1941,33,At. de Madrid,3,26
1941,28,R.C. Deportivo,4,26
1941,28,RC Celta de Vigo,5,26
1941,27,Sevilla F.C.,6,26
1941,27,Athletic Club,7,26
1941,26,C.D. Castellón,8,26
1941,26,R.C.D. Espanyol,9,26
1941,25,Granada C.F.,10,26
1941,23,Real Oviedo C.F.,11,26
1941,19,F.C. Barcelona,12,26
1941,17,Hércules C.F.,13,26
1941,12,Real Sociedad,14,26
1940,33,At. de Madrid,1,22
1940,31,Athletic Club,2,22
1940,27,Valencia C.F.,3,22
1940,27,F.C. Barcelona,4,22
1940,26,Sevilla F.C.,5,22
1940,24,Real Madrid C.F.,6,22
1940,22,R.C.D. Espanyol,7,22
1940,16,Real Oviedo C.F.,8,22
1940,16,Hércules C.F.,9,22
1940,13,RC Celta de Vigo,10,22
1940,14,Real Zaragoza CD,11,22
1940,13,Real Murcia C.F.,12,22
1953,40,Real Madrid C.F.,1,30
1953,36,F.C. Barcelona,2,30
1953,34,Valencia C.F.,3,30
1953,34,R.C.D. Espanyol,4,30
1953,32,Sevilla F.C.,5,30
1953,32,Athletic Club,6,30
1953,31,R.C. Deportivo,7,30
1953,31,Real Racing Club,8,30
1953,29,At. de Madrid,9,30
1953,29,Real Sociedad,10,30
1953,29,RC Celta de Vigo,11,30
1953,29,Real Valladolid,12,30
1953,28,C. At. Osasuna,13,30
1953,28,Real Jaén C.F.,14,30
1953,22,Real Oviedo C.F.,15,30
1953,16,Real S. de Gijón,16,30
